fold,total_acc,air_conditioner,car_horn,children_playing,dog_bark,drilling,engine_idling,gun_shot,jackhammer,siren,street_music
1,0.6827033218785796,0.64,0.9722222222222222,0.8,0.9,0.62,0.4479166666666667,0.8571428571428571,0.4083333333333333,0.813953488372093,0.73
2,0.6587837837837838,0.31,0.5476190476190477,0.91,0.94,0.71,0.62,0.8571428571428571,0.18333333333333332,0.8241758241758241,0.86
3,0.6021621621621621,0.23,0.9767441860465116,0.73,0.82,0.62,0.3177570093457944,1.0,0.3,0.8487394957983193,0.68
4,0.6292929292929293,0.42,0.6101694915254238,0.56,0.82,0.71,0.5327102803738317,0.7631578947368421,0.375,0.7771084337349398,0.76
5,0.6955128205128205,0.33,0.7244897959183674,0.81,0.78,0.48,0.4205607476635514,0.95,0.95,0.9154929577464789,0.78
6,0.6452004860267315,0.31,1.0,0.85,0.92,0.75,0.34579439252336447,0.9565217391304348,0.35294117647058826,0.7837837837837838,0.57
7,0.6634844868735084,0.75,0.6785714285714286,0.77,0.88,0.65,0.4811320754716981,0.803921568627451,0.3815789473684211,0.5584415584415584,0.68
8,0.6873449131513648,0.33,0.8333333333333334,0.73,0.84,0.81,0.5681818181818182,0.6666666666666666,0.5641025641025641,0.9,0.72
9,0.7254901960784313,0.23,0.90625,0.85,0.8,0.6,0.6966292134831461,0.8709677419354839,0.926829268292683,0.975609756097561,0.7
10,0.7383512544802867,0.6,0.9393939393939394,0.84,0.73,0.74,0.5483870967741935,0.9375,0.9375,0.5301204819277109,0.81
average,0.6728326354240598,0.4149999999999999,0.8188793444630275,0.7849999999999999,0.843,0.6689999999999999,0.4979069300484065,0.8663021325382593,0.5379618622900924,0.792742578007827,0.7290000000000001
